,FEN
113,r1bq1rk1p4ppp2pb1n23p2B183B4PPP1NPPPR2Q1RK1
114,r1bq1rk1p4ppp2pb1n23p2B183B2N1PPP2PPPR2Q1RK1
115,r1bq1rk1p4pp12pb1n1p3p2B183B2N1PPP2PPPR2Q1RK1
116,r1bq1rk1p4pp12pb1n1p3p483B2N1PPPB1PPPR2Q1RK1
117,r1bq1rk1p4pp12pb3p3p46n13B2N1PPPB1PPPR2Q1RK1
118,r1bq1rk1p4pp12pb3p3p46n16N1PPPBBPPPR2Q1RK1
119,r1b2rk1p4pp12pb3p3p46nq6N1PPPBBPPPR2Q1RK1
120,r1b2rk1p4pp12pb3p3p46Bq6N1PPPB1PPPR2Q1RK1
121,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR2Q1RK1
122,r4rk1p4pp12pb3p3p46bq6N1PPPB1PPPR1Q2RK1
123,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q2RK1
124,r4rk1p4pp12pb3p3p47q6N1PPPBbPPPR1Q1R1K1
125,r4rk1p4pp1b1pb3p3p47q6N1PPPB1PPPR1Q1R1K1
126,r4rk1p4pp1b1pb3p3p47q2B3N1PPP2PPPR1Q1R1K1
127,r4rk1p5p1b1pb3p3p1p27q2B3N1PPP2PPPR1Q1R1K1
128,r4rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1
129,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPP2PPPR1Q3K1
130,3r1rk1p5p1b1pbR2p3p1p27q2B3N1PPPQ1PPPR5K1
131,3r1rk1p5p1b1pbR2p5p23p3q2B3N1PPPQ1PPPR5K1
132,3r1rk1p5p1b1pbR2pB4p23p3q6N1PPPQ1PPPR5K1
133,5rk1p2r2p1b1pbR2pB4p23p3q6N1PPPQ1PPPR5K1
134,5rk1p2r2p1b1pR3pB4p23p3q6N1PPPQ1PPPR5K1
135,5rk1p5p1b1pr3pB4p23p3q6N1PPPQ1PPPR5K1
136,5rk1p5p1b1pr3p5p21B1p3q6N1PPPQ1PPPR5K1
137,5rk1p5p1b1pr1q1p5p21B1p46N1PPPQ1PPPR5K1
138,5rk1p5p1b1pr1q1p5p21B1p46N1PPPQ1PPP3R2K1
139,5rk1p5p1b1p2q1p3r1p21B1p46N1PPPQ1PPP3R2K1
140,5Bk1p5p1b1p2q1p3r1p23p46N1PPPQ1PPP3R2K1
141,5qk1p5p1b1p4p3r1p23p46N1PPPQ1PPP3R2K1
142,5qk1p5p1b1p4p3r1p1N3p48PPPQ1PPP3R2K1
143,4q1k1p5p1b1p4p3r1p1N3p48PPPQ1PPP3R2K1
144,4q1k1p5p1b1p4p3r1p23p1N28PPPQ1PPP3R2K1
145,4q1k1p5p1b1p4p4rp23p1N28PPPQ1PPP3R2K1
146,4q1k1p5p1b1p4p4rp23p1N1P8PPPQ1PP13R2K1
147,4q1k1p5p1b6p2p1rp23p1N1P8PPPQ1PP13R2K1
148,4q1k1p5p1b6p2p1rp1P3p1N28PPPQ1PP13R2K1
149,4q1k1p5p1b6p2p2p1P3prN28PPPQ1PP13R2K1
150,4q1k1p5p1b6p2p2p1P3prN22P5PP1Q1PP13R2K1
151,1q4k1p5p1b6p2p2p1P3prN22P5PP1Q1PP13R2K1
