,FEN
32679,2rr2k11b3pp11p2p31N4qpPpPP1n21Q3P26PPR2R1B1K
32680,2rr2k11b3pp11p2p31N4qpPQPP1n25P26PPR2R1B1K
32681,2rr2k11b3pp11p2p31N4q1PQPP1n1p5P26PPR2R1B1K
32682,2rr2k11b3pp11p2p31N4q1PQPP1n1pR4P26PP3R1B1K
32683,3r2k11b3pp11p2p31Nr3q1PQPP1n1pR4P26PP3R1B1K
32684,3r2k11b3pp11p2p31Nr3q1PQPP1n1pR4P26PP4RB1K
32685,3r2k11b3pp11p2p31N3rq1PQPP1n1pR4P26PP4RB1K
32686,3r2k11b3pp11p1Np35rq1PQPP1n1pR4P26PP4RB1K
32687,3r2k11b3pp11p1Np35rq1PQPP3pR4P26nP4RB1K
32688,3r2k11b3pp11p1Np35rq1PQPP3pR4P26BP4R2K
32689,3r2k11b3pp11p1Np35rq1PQPP4R4P1p6BP4R2K
32690,3r2k11b3pp11p1Np35rq1PQPP4R4P1B7P4R2K
32691,3r2k15pp11p1Np35rq1PQPP4R4b1B7P4R2K
32692,3r2k15pp11p1Np35rq1PQPP45R1B7P4R2K
32693,3r2k15pp11p1Np36q1PQPP45r1B7P4R2K
32694,3r2k15Np11p2p36q1PQPP45r1B7P4R2K
32695,3r2k15rp11p2p36q1PQPP47B7P4R2K
32696,3r2k15rp11p2B36q1PQPP487P4R2K
32697,6k15rp11p2B36q1PQPr487P4R2K
32698,6k15rp11Q2B36q1P1Pr487P4R2K
32699,6k15rp11Q2B36q1P1P2r287P4R2K
32700,6k15Bp11Q66q1P1P2r287P4R2K
32701,6k15rp11Q66q1P1P587P4R2K
32702,6k15rp14Q36q1P1P587P4R2K
32703,6k15rp14Q38P1P2q287P4R2K
32704,6k15rp12Q58P1P2q287P4R2K
32705,6k16p12Q55r2P1P2q287P4R2K
32706,Q5k16p185r2P1P2q287P4R2K
32707,Q76pk85r2P1P2q287P4R2K
32708,86pk85r2P1P1Qq287P4R2K
32709,86pk85r2P1P1q387P4R2K
32710,86pk85r2P1P1R387P7K
32711,86pk8r7P1P1R387P7K
32712,86pk8r7P1P1R386KP8
32713,86p16k1r7P1P1R386KP8
32714,86p16k1r7P1P1R35K27P8
32715,86p18r4k2P1P1R35K27P8
32716,86p18r4k2P1P2R25K27P8
32717,86p18r3k3P1P2R25K27P8
32718,86p18r3k3P1P1R35K27P8
32719,86p18r3k3P1P2RK187P8
32720,86p184k3r1P2RK187P8
32721,86p184k1K1r1P2R287P8
32722,86p1r74k1K12P2R287P8
32723,86p1r74k1K12P2R1P888
32724,86p12r54k1K12P2R1P888
32725,86p12r54k1KP2P2R2888
32726,86p12r1k36KP2P2R2888
32727,86p12r1k1K17P2P2R2888
32728,86p12r3K14k2P2P2R2888
32729,r1b2rk12q2pppp1nb1n21pp1p34P32P2N1PPPB2PP1R1BQRNK1
32730,r1b2rk12q2pppp1nb1n21pp1p34P2N2P4PPPB2PP1R1BQRNK1
32731,r1b2rk12q2p1pp1nb1np11pp1p34P2N2P4PPPB2PP1R1BQRNK1
32732,r1b2rk12q2p1pp1nb1npB1pp1p34P2N2P4PPPB2PP1R2QRNK1
32733,r1br2k12q2p1pp1nb1npB1pp1p34P2N2P4PPPB2PP1R2QRNK1
32734,r1br2k12q2p1pp1nb1npB1pp1p34P2N2P2Q1PPPB2PP1R3RNK1
32735,r1brn1k12q2p1pp1nb2pB1pp1p34P2N2P2Q1PPPB2PP1R3RNK1
32736,r1brn1k12q2p1pp1nb2pB1pp1p34P2N2P1NQ1PPPB2PP1R3R1K1
32737,r1brn1k12q4pp1nb1ppB1pp1p34P2N2P1NQ1PPPB2PP1R3R1K1
32738,r1brn1k12q4pp1nb1ppB1ppNp34P2N2P2Q1PPPB2PP1R3R1K1
32739,r1brn1k15q1pp1nb1ppB1ppNp34P2N2P2Q1PPPB2PP1R3R1K1
32740,r1brn1k15q1ppNnb1ppB1pp1p34P2N2P2Q1PPPB2PP1R3R1K1
32741,1rbrn1k15q1ppNnb1ppB1pp1p34P2N2P2Q1PPPB2PP1R3R1K1
32742,1rNrn1k15q1pp1nb1ppB1pp1p34P2N2P2Q1PPPB2PP1R3R1K1
32743,2rrn1k15q1pp1nb1ppB1pp1p34P2N2P2Q1PPPB2PP1R3R1K1
32744,2rrn1k15q1pp1nb1ppB1pp1p34P2N2P2QPPPPB2P2R3R1K1
32745,2rrnbk15q1pp1n2ppB1pp1p34P2N2P2QPPPPB2P2R3R1K1
32746,2rrnbk15q1pp1n2pp11pp1p34P2N2P1BQPPPPB2P2R3R1K1
32747,2rrnb1k5q1pp1n2pp11pp1p34P2N2P1BQPPPPB2P2R3R1K1
32748,2rrnb1k5q1pp1n2pp11pp1p34P32P1BQPPPPB2PN1R3R1K1
32749,2rr1b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN1R3R1K1
32750,2rr1b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN13RR1K1
32751,2r2b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN13rR1K1
32752,2r2b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN13R2K1
32753,3r1b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN13R2K1
32754,3R1b1k2n2q1pp1n2pp11pp1p34P32P1BQPPPPB2PN16K1
32755,3n1b1k2n2q1pp4pp11pp1p34P32P1BQPPPPB2PN16K1
32756,3n1b1k2n2q1pp4pp11pp1p3P3P32P1BQPP1PB2PN16K1
32757,3n1b1k2n4pp3qpp11pp1p3P3P32P1BQPP1PB2PN16K1
32758,3n1b1k2n4pp3qpp11Pp1p34P32P1BQPP1PB2PN16K1
32759,3n1b1k2n4p4qpp11pp1p34P32P1BQPP1PB2PN16K1
32760,3n1b1k2n4p4qpp11pp1p34P2P2P1BQP11PB2PN16K1
32761,3n1b22n3kp4qpp11pp1p34P2P2P1BQP11PB2PN16K1
32762,3n1b22n3kp4qpp11pp1p2P4P32P1BQP11PB2PN16K1
32763,3n1b22n3kp4qp21pp1p1pP4P32P1BQP11PB2PN16K1
32764,3n1b22n3kp4qp21pp1p1pP4P32P2QP11PB2PN12B3K1
32765,5b21nn3kp4qp21pp1p1pP4P32P2QP11PB2PN12B3K1
32766,5b21nn3kp4qp21pp1p1pP4P32P1NQP11PB2P22B3K1
32767,5b22n3kp3nqp21pp1p1pP4P32P1NQP11PB2P22B3K1
32768,5b22n3kp3nqp21pp1pNpP4P32P2QP11PB2P22B3K1
32769,5b22n3kp4qp21pp1pnpP4P32P2QP11PB2P22B3K1
32770,5b22n3kp4qp21pp1pPpP82P2QP11PB2P22B3K1
32771,5b22n3kp5p21ppqpPpP82P2QP11PB2P22B3K1
32772,5b22n3kp5p21ppqpPpP4B32P2QP11P3P22B3K1
32773,5b22n3kp3q1p21pp1pPpP4B32P2QP11P3P22B3K1
32774,5b22n3kp3q1p21pp1pPpP4B32P1BQP11P3P26K1
32775,5b22n3k13q1p1p1pp1pPpP4B32P1BQP11P3P26K1
32776,5b22n3k13q1p1p1pp1pPpP4B32P1BQP11P3PK18
32777,82n1b1k13q1p1p1pp1pPpP4B32P1BQP11P3PK18
32778,82n1b1k13q1p1p1pp1pPpP4B31PP1BQP15PK18
32779,5k22n1b33q1p1p1pp1pPpP4B31PP1BQP15PK18
32780,5k22n1b32Bq1p1p1pp1pPpP81PP1BQP15PK18
32781,5k22n1b32B2p1p1pp1pPpP81PPqBQP15PK18
32782,5k22n1b32B2p1p1pp1pPpP81PPqBQP15P1K8
32783,82n1bk22B2p1p1pp1pPpP81PPqBQP15P1K8
32784,81Bn1bk25p1p1pp1pPpP81PPqBQP15P1K8
32785,81Bn1bk25p1p1pp2PpP4p31PPqBQP15P1K8
32786,82n1bk25p1p1pp2PpP4B31PPqBQP15P1K8
32787,82n1bk25p1p1pp2PpP4B31Pq1BQP15P1K8
32788,82n1bk25p1p1ppB1PpP81Pq1BQP15P1K8
32789,84bk25p1p1ppn1PpP81Pq1BQP15P1K8
32790,84bk25p1p1ppQ1PpP81Pq1B1P15P1K8
32791,5k24b35p1p1ppQ1PpP81Pq1B1P15P1K8
32792,5k24b35p1p1ppQ1PpP81Pq1B1P15PK18
32793,5k24b35p1p1ppQ1PpP81P2B1P12q2PK18
32794,5k24b35p1p1ppQ1PpP6P11P2B32q2PK18
32795,5k24b35p1p1ppQ1PpP6P11P2B34qPK18
32796,5k24b35p1p1ppQ1PpP6P11P2B1K14qP28
32797,5k24b35p1p1ppQ1PpP6P11P2B1K12q2P28
32798,5k24b35p1p1ppQ1PpP6P11P2BK22q2P28
32799,5k24b35p1p1ppQ1PpP6P11Pq1BK25P28
32800,5k24b35p1p1ppQ1PpP6P11Pq1B35PK18
32801,Q4k24b35p1p1pp2PpP6P11P2B32q2PK18
32802,Q74bk25p1p1pp2PpP6P11P2B32q2PK18
32803,84bk25p1p1ppQ1PpP6P11P2B32q2PK18
32804,Q4k24b35p1p1pp2PpP6P11Pq1BK25P28
32805,Q74bk25p1p1pp2PpP6P11Pq1BK25P28
32806,84bk25p1p1ppQ1PpP6P11Pq1BK25P28
32807,rnbqkb1rpppppp1p5np182P55NP1PP1PPP1PRNBQKB1R
32808,rnbqkb1rpp1ppp1p2p2np182P55NP1PP1PPP1PRNBQKB1R
32809,rnbqkb1rpp1ppp1p2p2np182P55NP1PP1PPPBPRNBQK2R
32810,rnbq1rk1pp1pppbp2p2np182PP45NP1PP2PPBPRNBQK2R
32811,rnbq1rk1pp1pppbp2p2np182PP42N2NP1PP2PPBPR1BQK2R
32812,rnbq1rk1pp2ppbp2p2np13p42PP42N2NP1PP2PPBPR1BQK2R
32813,rnbq1rk1pp2ppbp2p2np13P43P42N2NP1PP2PPBPR1BQK2R
32814,rnbq1rk1p3ppbp1p3np13pN33P42N3P1PP2PPBPR1BQK2R
32815,rnbq1rk1p3ppbp1p3np13pN1B13P42N3P1PP2PPBPR2QK2R
32816,rn1q1rk1pb2ppbp1p3np13pN1B13P42N3P1PP2PPBPR2QK2R
32817,rn1q1rk1pb2ppbp1p3Bp13pN33P42N3P1PP2PPBPR2QK2R
32818,rn1q1rk1pb2pp1p1p3bp13pN33P42N3P1PP2PPBPR2QK2R
32819,rn1q1rk1pb2pp1p1p3bp13pN33P42N3P1PP2PPBPR2Q1RK1
32820,rn1q1rk1pb3p1p1p2pbp13pN33P42N3P1PP2PPBPR2Q1RK1
32821,rn1q1rk1pb3p1p1p2pbp13pN33P1P22N3P1PP2P1BPR2Q1RK1
32822,rn1q1rk1pb3pbp1p2p1p13pN33P1P22N3P1PP2P1BPR2Q1RK1
32823,rn1q1rk1pb3pbp1p2p1p13pN33P1P22N3P1PP2P1BP2RQ1RK1
32824,rn1q1rk1pb4bp1p2ppp13pN33P1P22N3P1PP2P1BP2RQ1RK1
32825,rn1q1rk1pb4bp1p2ppp13p43P1P22N2NP1PP2P1BP2RQ1RK1
32826,r2q1rk1pb4bp1pn1ppp13p43P1P22N2NP1PP2P1BP2RQ1RK1
32827,r2q1rk1pb4bp1pn1ppp13p43P1P22N1PNP1PP4BP2RQ1RK1
32828,r4rk1pb1q2bp1pn1ppp13p43P1P22N1PNP1PP4BP2RQ1RK1
32829,r4rk1pb1q2bp1pn1ppp13p43P1P22N1PNP1PP2Q1BP2R2RK1
32830,r4rk1pb1q2bp1p2ppp1n2p43P1P22N1PNP1PP2Q1BP2R2RK1
32831,r4rk1pb1q2bp1p2ppp1n2p43P1P1P2N1PNP1PP2Q1B12R2RK1
32832,r4rk1pb1q2bp1p2ppp13p42nP1P1P2N1PNP1PP2Q1B12R2RK1
32833,r4rk1pb1q2bp1p2ppp13p42nP1P1P2N1PNPBPP2Q32R2RK1
32834,r4rk1pb1q2bp1p1nppp13p43P1P1P2N1PNPBPP2Q32R2RK1
32835,r4rk1pb1q2bp1p1nppp13p43P1P1P2N1PNPBPP2Q2K2R2R2
32836,r4rk11b1q2bp1p1nppp1p2p43P1P1P2N1PNPBPP2Q2K2R2R2
32837,r4rk11b1q2bp1p1nppp1p2p43P1P1P2N1PNPBPP2Q2K2R1R3
32838,r4rk11b1q2bp3nppp1pp1p43P1P1P2N1PNPBPP2Q2K2R1R3
32839,r4rk11b1q2bp3nppp1pp1p43P1P1P4PNPBPP2Q2K2RNR3
32840,r4rk11b1q2bp3nppp1p2p41p1P1P1P4PNPBPP2Q2K2RNR3
32841,r4rk11b1q2bp3nppp1p2p41p1P1P1P4PNPBPP2QN1K2R1R3
32842,r4rk13q2bpb2nppp1p2p41p1P1P1P4PNPBPP2QN1K2R1R3
32843,r4rk13q2bpb2nppp1p2p41p1P1P1P4PNPBPP3N1K2RQR3
32844,r1r3k13q2bpb2nppp1p2p41p1P1P1P4PNPBPP3N1K2RQR3
32845,r1R3k13q2bpb2nppp1p2p41p1P1P1P4PNPBPP3N1K3QR3
32846,2r3k13q2bpb2nppp1p2p41p1P1P1P4PNPBPP3N1K3QR3
32847,2r3k13q2bpb2nppp1p2p41p1P1P1P4PNP1PP3N1K3QRB2
32848,2r3k13q2bp3nppp1p2p41p1P1P1P4PNP1PP3N1K3QRb2
32849,2r3k13q2bp3nppp1p2p41p1P1P1P4PNP1PP3N1K3Q1R2
32850,2r3k16bp2qnppp1p2p41p1P1P1P4PNP1PP3N1K3Q1R2
32851,2r3k16bp2qnppp1p2p41p1P1P1P3NPNP1PP5K3Q1R2
32852,2r3k16bp3nppp1p2p41p1P1P1P3NPNP1PPq4K3Q1R2
32853,2r3k16bp3nppp1p2p41p1P1P1P3NPNP1PPQ4K5R2
32854,6k16bp3nppp1p2p41p1P1P1P3NPNP1PPr4K5R2
32855,6k16bp3nppp1p2p41p1P1P1P3NPNP1PPr2R1K8
32856,6k16bp3nppp1p2p41p1P1P1P3NPNP1PP3r1K8
32857,6k16bp3nppp1p2p41p1P1P1P4PNP1PP3N1K8
32858,6k16bp4ppp1p2p41pnP1P1P4PNP1PP3N1K8
32859,6k16bp4ppp1p2p41pnP1P1P4PNP1PP5K3N4
32860,85kbp4ppp1p2p41pnP1P1P4PNP1PP5K3N4
32861,85kbp4ppp1p2p41pnP1P1P1P2PNP1P6K3N4
32862,85kbp3nppp1p2p41p1P1P1P1P2PNP1P6K3N4
32863,85kbp3nppp1p2p41p1P1P1P1P2PNP1P5K13N4
32864,85kb13nppp1p2p3p1p1P1P1P1P2PNP1P5K13N4
32865,85kb13nppp1p2p3p1p1P1P1P1P2PNPKP73N4
32866,85kb14ppp1p2p3p1p1PnP1P1P2PNPKP73N4
32867,85kb14ppp1p2p3p1p1PnPPP1P2PN1KP73N4
32868,85kb14ppp1p2p41p1PnPpP1P2PN1KP73N4
32869,85kb14ppp1p2p41p1PnPKP1P2PN2P73N4
32870,85kb14p1p1p2p1p21p1PnPKP1P2PN2P73N4
32871,85kb14p1p1p2p1p21p1PnP1P1P2PN1KP73N4
32872,85k24pbp1p2p1p21p1PnP1P1P2PN1KP73N4
32873,85k24pbp1p2p1p21p1PnP1P1P2P2KP73NN3
32874,86k14pbp1p2p1p21p1PnP1P1P2P2KP73NN3
32875,86k14pbp1p2p1p21p1PnP1P1P1NP2KP73N4
32876,86k14pbp1p2p1p21p1P1P1P1PnNP2KP73N4
32877,86k14pbp1p2p1p21p1P1P1P1PNNP2KP78
32878,86k14pbp1p2p1p23P1P1P1PpNP2KP78
32879,86k14pbp1p2p1p23P1P1P1Pp1P2KP74N3
32880,884pbpkp2p1p23P1P1P1Pp1P2KP74N3
32881,884pbpkp2p1p23P1P1P1Pp1P2KP1N58
32882,84b34p1pkp2p1p23P1P1P1Pp1P2KP1N58
32883,84b34p1pkp2p1p23P1P1P1Pp1P1K1P1N58
32884,84b34p1p1p2p1p1k3P1P1P1Pp1P1K1P1N58
32885,84b34p1p1p2p1p1k3P1P1P1Pp1PK2P1N58
32886,84b34p1p1p2p1p23P1P1k1Pp1PK2P1N58
32887,84b34p1p1p2p1p23P1P1k1Pp1PK2P74N3
32888,84b34p3p2p1pp13P1P1k1Pp1PK2P74N3
32889,84b34p3p2p1pP13P3k1Pp1PK2P74N3
32890,84b34p3p2p1pk13P41Pp1PK2P74N3
32891,84b34p3p2p1pk13P41Pp1PK2P1N58
32892,883bp3p2p1pk13P41Pp1PK2P1N58
32893,883bp3p2p1pk13P41Pp1PK2P74N3
32894,883bp3p2p1p23P3k1Pp1PK2P74N3
32895,883bp3p2p1p23P3k1Pp1PK2P1N58
32896,883bp3p2p1p23P41Pp1PK1kP1N58
32897,883bp3p2p1p23P41Pp1PK1kP7N7
32898,883bp3p2p1p23P41Pp1PK2P6kN7
32899,883bp3p2p1p23P41Pp1P3P4K1kN7
32900,884p3p2p1p23P41Pp1P1b1P4K1kN7
32901,884p3p2p1p23P41Pp1PKb1P6kN7
32902,884p3p2p1p23P3b1Pp1PK2P6kN7
32903,884p3p2p1p23P3b1Pp1PK2P1N4k8
32904,884p3p2p1p23P3b1Pp1PK2P1N56k1
32905,884p3p2p1p23P3b1Pp1P3P1N1K36k1
32906,884p3p2p1p23P3b1Pp1P3P1N1K1k18
32907,884p3p2p1p23P3b1Pp1P3P3K1k1N7
32908,84b34p3p2p1p23P41Pp1P3P3K1k1N7
32909,84b34p3p2p1p23P41Pp1P3P1N1K1k18
32910,84b34p3p2p1p23P41Pp1P1k1P1N1K38
32911,84b34p3p2p1p23P41Pp1P1k1P3K34N3
32912,3b484p3p2p1p23P41Pp1P1k1P3K34N3
32913,3b484p3p2p1p23P41Pp1P1k1P1N1K38
32914,884pb2p2p1p23P41Pp1P1k1P1N1K38
32915,884pb2p2p1p23P4PPp1P1k12N1K38
32916,84b34p3p2p1p23P4PPp1P1k12N1K38
32917,84b34p3p2p1p21P1P4P1p1P1k12N1K38
32918,84b34p33p1p2pP1P4P1p1P1k12N1K38
32919,84b34p33p1p2pP1P4P1p1P1k14K34N3
32920,884p33p1pb1pP1P4P1p1P1k14K34N3
32921,884p33p1pb1pP1P4P1p1P1k12N1K38
32922,884pb23p1p2pP1P4P1p1P1k12N1K38
32923,884pb23p1p2pP1P4P1pKP1k12N58
32924,884pb23p1p2pP1P4P1pKP32N2k28
32925,884pb23p1p2pP1P4P1pKP35k2N7
32926,3b484p33p1p2pP1P4P1pKP35k2N7
32927,3b484p33p1p2pP1P4P1pKP32N2k28
32928,884p33p1pb1pP1P4P1pKP32N2k28
32929,884p31P1p1pb1p2P4P1pKP32N2k28
32930,3b484p31P1p1p2p2P4P1pKP32N2k28
32931,3b484p31P1p1p2pN1P4P1pKP35k28
32932,881b2p31P1p1p2pN1P4P1pKP35k28
32933,881b2p31P1p1p2p2P4P1pKP32N2k28
32934,884p3bP1p1p2p2P4P1pKP32N2k28
32935,884p3bP1p1p2pN1P4P1pKP35k28
32936,884p3bP1p1p2pN1P4P1pKP384k3
32937,r1bqk3pp3p1p2n1pnr12p53Pp3P1P1Q32PBNPPPR3KB1R
32938,r1bqk3pp2np1p4pnr12p53Pp3P1P1Q32PBNPPPR3KB1R
32939,r1bqk3pp2np1p4pnr12p53Pp3P1P1Q1N12PB1PPPR3KB1R
32940,r2qk3pp1bnp1p4pnr12p53Pp3P1P1Q1N12PB1PPPR3KB1R
32941,r2qk3pp1bnp1p4pnr12P54p3P1P1Q1N12PB1PPPR3KB1R
32942,r3k3ppqbnp1p4pnr12P54p3P1P1Q1N12PB1PPPR3KB1R
32943,r3k3ppqbnp1p4pnr12P52P1p3P3Q1N12PB1PPPR3KB1R
32944,r3k3ppq1np1p2b1pnr12P52P1p3P3Q1N12PB1PPPR3KB1R
32945,r3k3ppq1np1p2b1pnr12P52P1p3P3Q1N12PBBPPPR3K2R
32946,r3k3ppq1np1p2b1p1r12P52P1p1n1P3Q1N12PBBPPPR3K2R
32947,r3k3ppq1np1p2b1p1r12P52P1p1B1P3Q1N12PB1PPPR3K2R
32948,r3k3ppq1np1p2b1p32P52P1p1r1P3Q1N12PB1PPPR3K2R
32949,r3k3ppq1np1p2b1p32P52P1p1r1P3Q1NP2PB1PP1R3K2R
32950,r3k3ppq1nprp2b1p32P52P1p3P3Q1NP2PB1PP1R3K2R
32951,r3k3ppq1nprp2b1p32P52P1N3P3Q2P2PB1PP1R3K2R
32952,r3k3ppq2prp2b1p32P2n22P1N3P3Q2P2PB1PP1R3K2R
32953,r3k3ppq2prp2bNp32P2n22P5P3Q2P2PB1PP1R3K2R
32954,r3k3pp3prp2bqp32P2n22P5P3Q2P2PB1PP1R3K2R
32955,r3k3pp3prp2bPp35n22P5P3Q2P2PB1PP1R3K2R
32956,r3k3pp3prp2bPp382P5P3n2P2PB1PP1R3K2R
32957,r3k3pp3prp2bPp382P5P3B2P2P2PP1R3K2R
32958,r3k3pp3prp3Pp382P5P3B2P2P2Pb1R3K2R
32959,r3k3pp3prp3Pp382P5P3B2P2P2Pb1R3K1R1
32960,r7pp1k1prp3Pp382P5P3B2P2P2Pb1R3K1R1
32961,r7pp1k1prp3Pp382P4PP3B32P2Pb1R3K1R1
32962,r7pp1k1pr13Pp37p2P4PP3B32P2Pb1R3K1R1
32963,r7pp1k1pr13Pp32P4p7PP3B32P2Pb1R3K1R1
32964,6r1pp1k1pr13Pp32P4p7PP3B32P2Pb1R3K1R1
32965,6r1pp1k1pr13Pp32P4p7PP3B32P2Pb11R2K1R1
32966,6r1pp1k1pr13Pp32P4p7PP3Bb22P2P21R2K1R1
32967,6r1pp1k1pR13Pp32P4p7PP3Bb22P2P21R2K3
32968,8pp1k1pr13Pp32P4p7PP3Bb22P2P21R2K3
32969,8pp1k1pr13Pp32P4p7PP3Bb22PK1P21R6
32970,8pp1k1pr13P42P1p2p7PP3Bb22PK1P21R6
32971,8pp1k1pr13P42P1p2p7PP2KBb22P2P21R6
32972,8pp1k2r13P1p22P1p2p7PP2KBb22P2P21R6
32973,8pp1k2r13P1p22P1p2p7PP2K1b22PB1P21R6
32974,8pp1k43P1p22P1p2p7PP2K1b22PB1Pr11R6
32975,8pp1k43P1p22P1p2p7PP3Kb22PB1Pr11R6
32976,8pp1k42bP1p22P1p2p7PP3K32PB1Pr11R6
32977,8pp1k42bP1p22P1p2p7PP1B1K32P2Pr11R6
32978,8pp62bPkp22P1p2p7PP1B1K32P2Pr11R6
32979,8pp62bPkp22P1p2p5P1PP1B1K32P3r11R6
32980,8pp62bPkp22P1p2p5P1PP1B1K32r51R6
32981,8pp62bPkp22P1p2p5P1PP1BK42r51R6
32982,8pp62bPkp22P1p2p5P1PP1BK46r11R6
32983,8pp62bPkp22P1P2p7PP1BK46r11R6
32984,8pp62bPk32P1Pp1p7PP1BK46r11R6
32985,8pp62bPk32P1Pp1p1R5PP1BK46r18
32986,8pp63Pk32P1Pp1p1R2b2PP1BK46r18
32987,8pp63Pk32P1Pp1p1R1Kb2PP1B56r18
32988,8pp63Pk32P1Pp1p1R1Kb1rPP1B588
32989,8pp63Pk32P1Pp1p1R1Kb1rPP784B3
32990,81p63Pk3p1P1Pp1p1R1Kb1rPP784B3
32991,81p63Pk3p1P1Pp1p3Kb1rPP71R64B3
32992,81p63Pk3p1PbPp1p3K2rPP71R64B3
32993,81p63Pk3p1PbPp1p6rPP2K41R64B3
32994,81p63Pk3p1PbPp1pr6PP2K41R64B3
32995,81p63Pk3p1PbPp1pr6PP71R2K34B3
32996,81p63Pk3p1PbPp1p7Pr71R2K34B3
32997,81p63Pk3p1PbPp1p7Pr73RK34B3
32998,81p63Pk3p1P1Pp1p2b4Pr73RK34B3
32999,81p63Pk3p1P1Pp1p2b4Pr73R1K24B3
33000,81p1k43P4p1P1Pp1p2b4Pr73R1K24B3
33001,81p1k43P4p1P1Pp1p2bR3Pr75K24B3
33002,81p1k43P4pbP1Pp1p3R3Pr75K24B3
33003,81p1k43P4pbP1Pp1p3R3Pr73B1K28
33004,81p1k43P41bP1Pp1pp2R3Pr73B1K28
33005,81p1k43P41bP1PpBpp2R3Pr75K28
33006,81p1k43P41bP1PpBpp2R3P3r45K28
33007,81p1k43P41bP1PpBpp6P3R45K28
33008,81p1k43P42P1PpBpp6P3b45K28
33009,81p1k43P42P1Pp1pp6P3b45K22B5
33010,81p1k43P41bP1Pp1pp6P85K22B5
33011,81p1k43P41bP1Pp1pp6P4K382B5
33012,81p63Pk31bP1Pp1pp6P4K382B5
33013,81p63Pk31bP1Pp1pp4K1P882B5
33014,81p1b43Pk32P1Pp1pp4K1P882B5
33015,81p1b43Pk32P1Pp1pp4K1P81B68
33016,81p1b43P42PkPp1pp4K1P81B68
33017,81p1b43P42PkPp1pp4K1PB788
33018,2b51p63P42PkPp1pp4K1PB788
33019,2b51p63P42PkPp1pp4K1P882B5
33020,81p63Pb32PkPp1pp4K1P882B5
33021,81p63Pb32PkPp1pp4K1PB788
33022,81p1b43P42PkPp1pp4K1P882B5
33023,81p1b43P42P1Pp1pp2k1K1P882B5
33024,81p1b43P42P1Pp1pp2k1K1PB788
33025,81p63Pb32P1Pp1pp2k1K1PB788
33026,81p63Pb32P1Pp1ppB1k1K1P888
33027,2b51p63P42P1Pp1ppB1k1K1P888
33028,2b51p63P42P1Pp1pp2k1K1PB788
33029,81p1b43P42P1Pp1ppB1k1K1P888
33030,2b51p63P42P1Pp1pp2k1K1P882B5
33031,rnbqkbnrpppppp1p6p182P58PP1PPPPPRNBQKBNR
33032,rnbqkbnrpppppp1p6p182P52N5PP1PPPPPR1BQKBNR
33033,rnbqkbnrpp1ppp1p6p12p52P52N5PP1PPPPPR1BQKBNR
33034,rnbqkbnrpp1ppp1p6p12p52P52N3P1PP1PPP1PR1BQKBNR
33035,rnbqk1nrpp1pppbp6p12p52P52N3P1PP1PPP1PR1BQKBNR
33036,rnbqk1nrpp1pppbp6p12p52P52N3P1PP1PPPBPR1BQK1NR
33037,r1bqk1nrpp1pppbp2n3p12p52P52N3P1PP1PPPBPR1BQK1NR
33038,r1bqk1nrpp1pppbp2n3p12p52P52N1P1P1PP1P1PBPR1BQK1NR
33039,r1bqk1nrpp1p1pbp2n1p1p12p52P52N1P1P1PP1P1PBPR1BQK1NR
33040,r1bqk1nrpp1p1pbp2n1p1p12p52P52N1P1P1PP1PNPBPR1BQK2R
33041,r1bqk2rpp1pnpbp2n1p1p12p52P52N1P1P1PP1PNPBPR1BQK2R
33042,r1bqk2rpp1pnpbp2n1p1p12p52PP42N1P1P1PP2NPBPR1BQK2R
33043,r1bqk2rpp1pnpbp2n1p1p182Pp42N1P1P1PP2NPBPR1BQK2R
33044,r1bqk2rpp1pnpbp2n1p1p182PN42N1P1P1PP3PBPR1BQK2R
33045,r1bqk2rpp2npbp2n1p1p13p42PN42N1P1P1PP3PBPR1BQK2R
33046,r1bqk2rpp2npbp2n1p1p13P43N42N1P1P1PP3PBPR1BQK2R
33047,r1bqk2rpp2npbp4p1p13P43n42N1P1P1PP3PBPR1BQK2R
33048,r1bqk2rpp2npbp4p1p13P43P42N3P1PP3PBPR1BQK2R
33049,r1bqk2rpp3pbp4p1p13n43P42N3P1PP3PBPR1BQK2R
33050,r1bqk2rpp3pbp4p1p13n43P42N3P1PP3PBPR1BQ1RK1
33051,r1bq1rk1pp3pbp4p1p13n43P42N3P1PP3PBPR1BQ1RK1
33052,r1bq1rk1pp3pbp4p1p13n43P41QN3P1PP3PBPR1B2RK1
33053,r1b2rk1pp3pbp1q2p1p13n43P41QN3P1PP3PBPR1B2RK1
33054,r1b2rk1pp3pbp1q2p1p13N43P41Q4P1PP3PBPR1B2RK1
33055,r1b2rk1pp3pbp1q4p13p43P41Q4P1PP3PBPR1B2RK1
33056,r1b2rk1pp3pbp1q4p13B43P41Q4P1PP3P1PR1B2RK1
33057,r1b2rk1pp3pbp6p13B43P41q4P1PP3P1PR1B2RK1
33058,r1b2rk1pp3pbp6p183P41B4P1PP3P1PR1B2RK1
